Unnamed: 0,City,No. Stations,Air Quality,Index Value,Prominent Pollutant,year,Date,Season,Temp,Humidity,WindSpeed
173890,Lucknow,5,Moderate,135,"PM10, PM2.5",2022,2022-02-24,Winter,21.8,74.8,14.8
173920,Lucknow,6,Moderate,143,"PM10, PM2.5",2022,2022-02-25,Winter,21.5,71.2,13.0
173924,Mumbai,15,Poor,219,"O3, PM2.5",2022,2022-02-25,Winter,26.9,54.0,20.5
174001,Delhi,35,Poor,286,PM2.5,2022,2022-02-25,Winter,20.1,71.7,20.5
174012,Jaipur,2,Moderate,197,PM10,2022,2022-02-25,Winter,22.8,47.1,16.6
174166,Jaipur,2,Moderate,147,"PM10, PM2.5",2022,2022-02-26,Winter,21.3,58.7,29.5
174196,Delhi,30,Moderate,102,"PM10, PM2.5",2022,2022-02-26,Winter,18.4,70.8,27.7
174214,Lucknow,6,Moderate,136,"PM10, PM2.5",2022,2022-02-26,Winter,20.8,73.1,16.6
174226,Mumbai,18,Poor,223,"PM10, PM2.5",2022,2022-02-26,Winter,27.1,47.9,17.8
174243,Jaipur,2,Satisfactory,94,"PM10, PM2.5",2022,2022-02-27,Winter,20.7,58.0,18.4
174254,Mumbai,17,Moderate,156,"PM10, PM2.5",2022,2022-02-27,Winter,27.3,46.3,17.2
174264,Lucknow,6,Satisfactory,86,"CO, PM10",2022,2022-02-27,Winter,21.2,66.1,14.8
174314,Delhi,33,Satisfactory,92,"PM10, PM2.5",2022,2022-02-27,Winter,18.7,70.2,13.2
174416,Jaipur,1,Satisfactory,67,PM10,2022,2022-02-28,Winter,19.9,44.2,14.8
174439,Delhi,32,Moderate,107,"O3, PM10, PM2.5",2022,2022-02-28,Winter,18.1,62.7,14.8
174489,Lucknow,6,Satisfactory,84,PM10,2022,2022-02-28,Winter,19.7,64.8,16.6
174501,Mumbai,13,Poor,215,"O3, PM2.5",2022,2022-02-28,Winter,27.0,46.6,16.1
174555,Jaipur,3,Satisfactory,88,"O3, PM10",2022,2022-03-01,Summer,21.0,41.0,11.2
174598,Lucknow,6,Satisfactory,100,"PM10, PM2.5",2022,2022-03-01,Summer,19.6,67.2,9.4
174610,Mumbai,17,Moderate,187,"PM10, PM2.5",2022,2022-03-01,Summer,27.5,52.8,17.8
174691,Delhi,38,Moderate,170,"O3, PM2.5",2022,2022-03-01,Summer,18.3,68.6,12.3
174735,Jaipur,3,Moderate,101,PM10,2022,2022-03-02,Summer,22.7,44.4,11.2
174739,Lucknow,6,Moderate,113,"O3, PM10, PM2.5",2022,2022-03-02,Summer,20.3,68.7,9.4
174749,Mumbai,17,Poor,216,PM2.5,2022,2022-03-02,Summer,28.4,50.1,21.1
174775,Delhi,37,Poor,225,PM2.5,2022,2022-03-02,Summer,19.4,68.7,14.4
174853,Mumbai,15,Poor,204,"O3, PM10, PM2.5",2022,2022-03-03,Summer,29.1,44.9,22.4
174916,Delhi,36,Moderate,178,"O3, PM10, PM2.5",2022,2022-03-03,Summer,21.8,63.7,16.6
174970,Jaipur,3,Moderate,125,"CO, PM10",2022,2022-03-03,Summer,23.0,52.4,25.9
174998,Lucknow,6,Moderate,125,"PM10, PM2.5",2022,2022-03-03,Summer,20.9,68.8,9.4
175057,Mumbai,18,Moderate,177,"O3, PM10, PM2.5",2022,2022-03-04,Summer,29.7,32.4,23.5
175077,Jaipur,3,Moderate,113,"PM10, PM2.5",2022,2022-03-04,Summer,22.4,52.1,14.8
175097,Lucknow,6,Moderate,130,"PM10, PM2.5",2022,2022-03-04,Summer,23.2,63.1,18.4
175141,Delhi,36,Moderate,199,PM2.5,2022,2022-03-04,Summer,20.4,73.3,16.6
175162,Jaipur,3,Satisfactory,89,"PM10, PM2.5",2022,2022-03-05,Summer,21.7,48.9,14.8
175208,Delhi,36,Moderate,115,"O3, PM10, PM2.5",2022,2022-03-05,Summer,19.5,71.6,20.5
175224,Lucknow,6,Moderate,102,PM10,2022,2022-03-05,Summer,21.2,74.2,18.4
175269,Mumbai,15,Moderate,167,"PM10, PM2.5",2022,2022-03-05,Summer,28.7,39.7,22.3
175376,Delhi,34,Moderate,162,PM2.5,2022,2022-03-06,Summer,20.3,70.0,10.6
175406,Jaipur,2,Satisfactory,90,PM10,2022,2022-03-06,Summer,22.4,45.5,11.2
